year_index,circuit,race,url,year
1,bahrain,bahrain,1124,2022
2,saudi-arabia,saudi-arabia,1125,2022
3,australia,australia,1108,2022
,italy,italy,1109,2022
4,miami,miami,1110,2022
5,spain,spain,1111,2022
6,monaco,monaco,1112,2022
7,azerbaijan,azerbaijan,1126,2022
8,canada,canada,1113,2022
9,great-britain,great-britain,1114,2022
,austria,austria,1115,2002
10,france,france,1116,2022
11,hungary,hungary,1117,2022
12,belgium,belgium,1118,2022
13,netherlands,netherlands,1119,2022
14,italy,monza,1120,2022
15,singapore,singapore,1133,2022
16,japan,japan,1134,2022
17,united-states,united-states,1135,2022
18,mexico,mexico,1136,2022
,brazil,brazil,1137,2022
19,abu-dhabi,abu-dhabi,1138,2022
1,bahrain,bahrain,1064,2021
2,italy,emilia,1065,2021
3,portugal,portugal,1066,2021
4,spain,spain,1086,2021
5,monaco,monaco,1067,2021
6,azerbaijan,azerbaijan,1068,2021
7,france,france,1070,2021
8,austria,styrian,1092,2021
9,austria,austria,1071,2021
,great-britain,great-britain,1072,2021
10,hungary,hungary,1073,2021
11,belgium,belgium,1074,2021
12,netherlands,netherlands,1075,2021
,italy,italy,1076,2021
13,russia,russia,1077,2021
14,turkey,turkey,1078,2021
15,united-states,united-states,1102,2021
16,mexico,mexico,1103,2021
,brazil,brazil,1104,2021
17,qatar,qatar,1105,2021
18,saudi-arabia,saudi-arabia,1106,2021
19,abu-dhabi,abu-dhabi,1107,2021
1,austria,austria,1045,2020
2,styria,styria,1046,2020
3,hungary,hungary,1047,2020
4,great-britain,great-britain,1048,2020
5,great-britain,anniversary,1049,2020
6,spain,spain,1050,2020
7,belgium,belgium,1051,2020
8,italy,italy,1052,2020
9,italy,tuscan,1053,2020
10,russia,russia,1054,2020
11,germany,germany,1055,2020
12,portugal,portugal,1056,2020
13,italy,emilia,1057,2020
14,turkey,turkey,1058,2020
15,bahrain,bahrain,1059,2020
16,bahrain,sakhir,1060,2020
17,abu-dhabi,abu-dhabi,1061,2020
1,australia,australia,1000,2019
2,bahrain,bahrain,1001,2019
3,china,china,1002,2019
4,azerbaijan,azerbaijan,1003,2019
5,spain,spain,1004,2019
6,monaco,monaco,1005,2019
7,canada,canada,1006,2019
8,france,france,1007,2019
9,austria,austria,1008,2019
10,great-britain,great-britain,1009,2019
11,germany,germany,1010,2019
12,hungary,hungary,1011,2019
13,belgium,belgium,1012,2019
14,italy,italy,1013,2019
15,singapore,singapore,1014,2019
16,russia,russia,1015,2019
17,japan,japan,1016,2019
18,mexico,mexico,1017,2019
19,united-states,united-states,1018,2019
20,brazil,brazil,1019,2019
21,abu-dhabi,abu-dhabi,1020,2019
1,australia,australia,979,2018
2,bahrain,bahrain,980,2018
3,china,china,981,2018
4,azerbaijan,azerbaijan,982,2018
5,spain,spain,983,2018
6,monaco,monaco,984,2018
7,canada,canada,985,2018
8,france,france,986,2018
9,austria,austria,987,2018
10,great-britain,great-britain,988,2018
11,germany,germany,989,2018
12,hungary,hungary,990,2018
13,belgium,belgium,991,2018
14,italy,italy,992,2018
15,singapore,singapore,993,2018
16,russia,russia,994,2018
17,japan,japan,995,2018
18,united-states,united-states,996,2018
19,mexico,mexico,997,2018
20,brazil,brazil,998,2018
21,abu-dhabi,abu-dhabi,999,2018
1,australia,australia,959,2017
2,china,china,960,2017
3,bahrain,bahrain,961,2017
4,russia,russia,962,2017
5,spain,spain,963,2017
6,monaco,monaco,964,2017
7,canada,canada,965,2017
8,azerbaijan,azerbaijan,966,2017
9,austria,austria,967,2017
10,great-britain,great-britain,968,2017
11,hungary,hungary,969,2017
12,belgium,belgium,970,2017
13,italy,italy,971,2017
14,singapore,singapore,972,2017
15,malaysia,malaysia,973,2017
16,japan,japan,974,2017
17,united-states,united-states,975,2017
18,mexico,mexico,976,2017
19,brazil,brazil,977,2017
20,abu-dhabi,abu-dhabi,978,2017
1,australia,australia,938,2016
2,bahrain,bahrain,939,2016
3,china,china,940,2016
4,russia,russia,941,2016
5,spain,spain,942,2016
6,monaco,monaco,943,2016
7,canada,canada,944,2016
8,europe,europe,958,2016
9,austria,austria,945,2016
10,great-britain,great-britain,946,2016
11,hungary,hungary,947,2016
12,germany,germany,948,2016
13,belgium,belgium,949,2016
14,italy,italy,950,2016
15,singapore,singapore,951,2016
16,malaysia,malaysia,952,2016
17,japan,japan,953,2016
18,united-states,united-states,954,2016
19,mexico,mexico,955,2016
20,brazil,brazil,956,2016
21,abu-dhabi,abu-dhabi,957,2016
1,australia,australia,917,2015
2,malaysia,malaysia,918,2015
3,china,china,919,2015
4,bahrain,bahrain,920,2015
5,spain,spain,921,2015
6,monaco,monaco,922,2015
7,canada,canada,923,2015
8,austria,austria,924,2015
9,great-britain,great-britain,925,2015
10,hungary,hungary,927,2015
11,belgium,belgium,928,2015
12,italy,italy,929,2015
13,singapore,singapore,930,2015
14,japan,japan,931,2015
15,russia,russia,932,2015
16,united-states,united-states,933,2015
17,mexico,mexico,934,2015
18,brazil,brazil,935,2015
19,abu-dhabi,abu-dhabi,936,2015
1,australia,australia,898,2014
2,malaysia,malaysia,899,2014
3,bahrain,bahrain,900,2014
4,china,china,901,2014
5,spain,spain,902,2014
6,monaco,monaco,903,2014
7,canada,canada,904,2014
8,austria,austria,905,2014
9,great-britain,great-britain,906,2014
10,germany,germany,907,2014
11,hungary,hungary,908,2014
12,belgium,belgium,909,2014
13,italy,italy,910,2014
14,singapore,singapore,911,2014
15,japan,japan,912,2014
16,russia,russia,913,2014
17,united-states,united-states,914,2014
18,brazil,brazil,915,2014
19,abu-dhabi,abu-dhabi,916,2014
